MID,MDESC,Phân loại dịch vụ bậc 1,Phân loại dịch vụ bậc 2
969,Cập nhật hồ sơ căn cứ thanh toán,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
970,Vấn tin trạng thái ghi có của người hưởng ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
971,Vấn tin điện chuyển tiền,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
972,Lấy danh sách doanh nghiệp trả lương ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
975,Khởi tạo giao dịch  QR Quốc tế,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
976,Xác nhận giao dịch QR Quốc tế,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
977,CTQT - Xác nhận tạo tra soát,Tra soát,Dịch vụ tra soát giao dịch chuyển tiền quốc tế
980,Mua ngoại tệ - Kiểm tra tài khoản đủ điều kiện mua ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
981,Mua ngoại tệ - Danh sách mục đích mua ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
982,Mua ngoại tệ - Danh sách tài liệu theo mục đích,Ngoại tệ,Dịch vụ ngoại tệ
983,Mua ngoại tệ - Danh sách loại tiền tệ,Ngoại tệ,Dịch vụ ngoại tệ
984,Mua ngoại tệ - Lấy tỷ giá ngoại tệ so với loại tiền tài khoản thanh toán,Ngoại tệ,Dịch vụ ngoại tệ
985,Mua ngoại tệ - Danh sách chi nhánh bán ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
986,Mua ngoại tệ - Lấy thông tin người giới thiệu bằng CCCD,Ngoại tệ,Dịch vụ ngoại tệ
987,Mua ngoại tệ - Danh sách ngày nghỉ,Ngoại tệ,Dịch vụ ngoại tệ
988,Mua ngoại tệ - Khởi tạo Đăng ký/Chỉnh sửa/Cập nhật đăng ký giao dịch mua ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
989,Mua ngoại tệ - Xác nhận Đăng ký/Chỉnh sửa/Cập nhật đăng ký giao dịch mua ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
990,Mua ngoại tệ - Danh sách giao dịch mua ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
991,Mua ngoại tệ - Hủy giao dịch mua ngoại tệ,Ngoại tệ,Dịch vụ ngoại tệ
992,Mua ngoại tệ - Thêm tài liệu,Ngoại tệ,Dịch vụ ngoại tệ
993,Mua ngoại tệ - Lấy chi nhánh theo subBranch,Ngoại tệ,Dịch vụ ngoại tệ
"1,000",Lấy danh sách ví điện tử đã liên kết ,Ví điện tử,Dịch vụ ví điện tử
"1,001",Khởi tạo liên kết ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,002",Xác nhận liên kết ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,003",Khởi tạo hủy liên kết ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,004",Xác nhận hủy liên kết ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,005",Khởi tạo nạp tiền ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,006",Xác nhận nạp tiền ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,007",Vấn tin giao dịch nạp tự động,Ví điện tử,Dịch vụ ví điện tử
"1,008",Lấy danh sách dịch vụ ví điện tử,Ví điện tử,Dịch vụ ví điện tử
"1,009",Truy vấn thông tin khách hàng,Lấy thông tin,Truy vấn thông tin khách hàng
"1,019",Lấy danh sách kho bạc,Thuế,Dịch vụ thuế
"1,020",Truy vấn mã số thuế,Thuế,Dịch vụ thuế
"1,021",Truy vấn kênh kho bạc,Thuế,Dịch vụ thuế
"1,022",Khởi tạo trả thuế,Thuế,Dịch vụ thuế
"1,023",Xác nhận trả thuế,Thuế,Dịch vụ thuế
"9,001",sdk ekyc,(CoreBank),(CoreBank)
"9,002",Xoa tat ca cache common,(CoreBank),(CoreBank)
"9,003",Lay danh sach key redis common,(CoreBank),(CoreBank)
"9,004",Xoa common cache redis,(CoreBank),(CoreBank)
"9,005",Xoa cache by pattern keys,(CoreBank),(CoreBank)
"9,006",Cai key redis cache,(CoreBank),(CoreBank)
"9,007",Cap nhat customer_status in redis cache BE update customer,(CoreBank),(CoreBank)
"9,008",Kick out session,(CoreBank),(CoreBank)
"9,011",Check Biometrics,(CoreBank),(CoreBank)
"9,012",Send Mail,(CoreBank),(CoreBank)
"9,013",Create Otp,(CoreBank),(CoreBank)
"9,014",Verify Otp,(CoreBank),(CoreBank)
"9,015",Wallet Unlink,(CoreBank),(CoreBank)
"9,016",Init Transaction,(CoreBank),(CoreBank)
"9,017",Confirm Transaction,(CoreBank),(CoreBank)
"9,018",Send Email Be,(CoreBank),(CoreBank)
"9,019",Avatar,(CoreBank),(CoreBank)
"9,021",Get Bill,(CoreBank),(CoreBank)
"9,022",Inquiry Bill,(CoreBank),(CoreBank)
"9,023",Create Cif,(CoreBank),(CoreBank)
"9,024",Update ocr info,(CoreBank),(CoreBank)
"9,025",Update ekyc status,(CoreBank),(CoreBank)
"9,026",Biometric confirm,(CoreBank),(CoreBank)
"9,027",Delete Card,(CoreBank),(CoreBank)
"9,900",API authenBSB,(CoreBank),(CoreBank)
"9,901",API checkUserExistBSB,(CoreBank),(CoreBank)
"9,902",API precheckUserExistsBSB,(CoreBank),(CoreBank)
"9,903",API totalAmountTrans,(CoreBank),(CoreBank)
"9,904",API Mở khóa dịch vụ SMB,(CoreBank),(CoreBank)
"9,905",API Gửi lại mật khẩu lần đầu,(CoreBank),(CoreBank)
"9,906",API Mở đăng nhập khác thiết bị,(CoreBank),(CoreBank)
"9,907",API Đăng ký dịch vụ,(CoreBank),(CoreBank)
"9,908",API Cập nhật thông tin,(CoreBank),(CoreBank)
"9,909",API Cập nhật gói dịch vụ,(CoreBank),(CoreBank)
"9,910",API Cập nhật số điện thoại nhận Otp,(CoreBank),(CoreBank)
